# 2010 08 04 13 27 26.41 43.5866666666667 -110.436666666667   4.4 0.00  9.7  2.7 0.08 1
LOHW 3.420 0.75 P
REDW 8.170 0.75 P
IMW 9.740 0.75 P
FLWY 10.90 1 P
YPP 14.73 1 P
B944 16.07 0.75 P
MCID 15.99 0.75 P
YTP 16.05 1 P
YLT 16.89 0.5 P
# 2010 08 04 22 34 21.22 43.5896666666667 -110.421666666667  -1.3 0.00  5.3  2.6 0.12 2
LOHW 3.990 0.75 P
REDW 9.130 1 P
IMW 10.63 1 P
FLWY 11.79 1 P
YPP 15.68 0.75 P
YTP 16.68 0.5 P
MCID 17.01 0.5 P
ECR 18.09 0.5 P
# 2010 08 04 23 44 24.39 43.5896666666667 -110.44  -0.9 0.00  4.4  2.8 0.16 3
LOHW 3.640 1 P
REDW 8.969 1 P
IMW 10.26 0.5 P
FLWY 11.63 0.75 P
YPP 15.36 0.75 P
MCID 16.83 0.5 P
YTP 16.58 0.5 P
YLT 17.88 0.5 P
ECR 17.72 0.75 P
# 2010 08 05 00 12  9.12 43.5725 -110.403333333333  10.3 0.00 18.1  8.3 0.13 4
LOHW 4.119 1 P
REDW 8.410 1 P
IMW 10.21 1 P
FLWY 11.34 1 P
YPP 14.77 0.5 P
YTP 16.22 0.25 P
MCID 16.41 0.5 P
ECR 17 0.5 P
# 2010 08 06 18 48 58.64 43.601 -110.545   6.7 0.00  3.3 11.3 0.11 5
LOHW 2.280 0.75 P
REDW 7.25 0.75 P
IMW 8.489 1 P
FLWY 10.04 0.75 P
YPP 14.01 0.75 P
MCID 14.89 0.75 P
# 2010 08 05 00 34 54.85 43.6021666666667 -110.601666666667   3.8 0.00  3.5 18.9 0.10 6
LOHW 1.530 0.75 P
REDW 6.890 0.5 P
IMW 8.100 0.75 P
YPP 13.83 0.5 P
MCID 14.59 0.5 P
# 2010 08 05 01 19 45.71 43.5891666666667 -110.488333333333   6.6 0.00  8.5 13.3 0.08 7
LOHW 2.849 0.75 P
REDW 7.619 0.75 P
IMW 9.179 0.5 P
FLWY 10.46 0.75 P
YPP 14.44 0.75 P
MCID 15.46 0.5 P
# 2010 08 05 01 21 23.66 43.5986666666667 -110.423333333333   1.5 0.00  7.6  2.2 0.11 8
LOHW 3.680 0.75 P
REDW 8.75 0.75 P
IMW 10.01 1 P
FLWY 11 1 P
YPP 14.87 1 P
YTP 16.02 1 P
MCID 16.30 0.75 P
YLT 17.19 0.75 P
ECR 17.52 0.5 P
# 2010 08 05 01 47  0.44 43.5938333333333 -110.481666666667   6.7 0.00  8.8 13.4 0.21 9
LOHW 2.929 0.75 P
REDW 7.739 0.75 P
IMW 9.119 0.75 P
FLWY 10.20 0.75 P
YPP 14.58 0.75 P
MCID 15.55 0.5 P
# 2010 08 05 02 13 18.00 43.5915 -110.551666666667   7.9 0.00  3.4 12.5 0.04 10
LOHW 2.409 1 P
REDW 7.080 0.75 P
IMW 8.75 1 P
FLWY 10.23 0.75 P
YPP 14.09 0.5 P
MCID 14.70 0.75 P
# 2010 08 05 02 52 40.02 43.582 -110.426666666667   2.3 0.00 10.6  5.4 0.14 11
LOHW 3.649 0.75 P
REDW 8.459 1 P
IMW 10.04 1 P
FLWY 11.27 0.75 P
YPP 15.15 0.75 P
B944 15.97 0.5 P
MCID 16.39 0.5 P
YLT 17.38 0.25 P
ECR 17.13 0.5 P
# 2010 08 09 06 12 19.15 43.595 -110.441666666667   4.2 0.00 10.1 10.7 0.13 12
LOHW 3.309 0.75 P
REDW 8.25 1 P
IMW 9.579 1 P
FLWY 10.66 1 P
MCID 15.98 1 P
ECR 17.02 1 P
# 2010 08 05 04 16  1.74 43.5825 -110.406666666667  -2.8 0.00  4.4  2.1 0.09 13
LOHW 4.380 0.75 P
REDW 9.609 1 P
FLWY 12.14 1 P
YPP 15.98 0.75 P
B944 17.23 0.75 P
YTP 17.15 0.75 P
MCID 17.32 0.75 P
YLT 18.15 0.75 P
ECR 18.35 0.75 P
YFT 19.45 0.75 P
# 2010 08 05 04 20 16.07 43.5748333333333 -110.443333333333   5.0 0.00  8.2  2.6 0.13 14
LOHW 3.419 1 P
REDW 7.969 1 P
IMW 9.760 1 P
FLWY 11.02 1 P
YPP 14.85 0.75 P
MCID 16.15 0.75 P
B944 16.41 0.75 P
YTP 16.19 0.75 P
ECR 16.69 0.5 P
YLT 17.05 0.75 P
YFT 17.83 0.5 P
# 2010 08 05 04 49 40.32 43.6081666666667 -110.495   5.3 0.00  4.5 10.2 0.19 15
LOHW 2.690 0.75 P
REDW 7.489 0.75 P
IMW 9.059 0.75 P
FLWY 10.27 0.75 P
YPP 14.15 0.75 P
MCID 14.88 0.75 P
ECR 16.92 0.75 P
# 2010 08 05 04 53 34.87 43.5796666666667 -110.443333333333   3.0 0.00  8.2  4.8 0.13 16
LOHW 3.410 1 P
REDW 8.049 0.75 P
IMW 9.799 1 P
FLWY 11.08 0.75 P
YPP 14.97 0.75 P
MCID 16.27 0.75 P
B944 16.10 0.5 P
ECR 17.05 0.75 P
# 2010 08 05 05 12 57.80 43.5986666666667 -110.535   6.5 0.00  2.0  2.5 0.26 17
LOHW 2.369 1 P
REDW 6.960 0.75 P
IMW 8.730 0.75 P
FLWY 10.02 0.75 P
YPP 13.89 0.75 P
MCID 15.11 0.75 P
B944 15.20 0.75 P
YTP 16.45 0.75 P
ECR 16.41 0.75 P
YLT 16.63 0.5 P
# 2010 08 08 01 54 26.45 43.6056666666667 -110.458333333333   6.4 0.00  8.3  6.6 0.07 18
LOHW 3.110 1 P
REDW 8.140 0.75 P
IMW 9.310 1 P
FLWY 10.40 0.75 P
YPP 14.18 0.75 P
MCID 15.48 0.75 P
B944 15.68 0.25 P
YLT 16.43 0.5 P
ECR 16.85 0.5 P
# 2010 08 05 04 22 21.41 43.563 -110.433333333333   6.0 0.00 11.3  2.6 0.16 19
LOHW 3.570 1 P
REDW 8.150 1 P
IMW 9.930 1 P
FLWY 11.20 1 P
YPP 15.03 1 P
MCID 16.33 0.75 P
B944 16.33 0.5 P
YTP 16.35 0.75 P
ECR 16.47 0.75 P
YLT 17.41 0.75 P
YFT 18.40 0.75 P
# 2010 08 07 14 36 13.55 43.6081666666667 -110.461666666667   8.1 0.00  9.7 10.0 0.16 20
LOHW 3.179 0.75 P
REDW 8.159 0.75 P
IMW 9.25 1 P
FLWY 10.03 0.5 P
YPP 14.11 0.5 P
MCID 15.55 0.5 P
YLT 16.69 0.25 P
ECR 16.75 0.5 P
# 2010 08 07 15 31 59.75 43.5866666666667 -110.436666666667   2.9 0.00  7.6  2.9 0.13 21
LOHW 3.459 0.75 P
REDW 8.219 0.75 P
IMW 9.770 0.75 P
FLWY 11.07 0.75 P
YPP 14.81 0.75 P
B944 15.97 0.5 P
MCID 16.20 0.75 P
YTP 16.16 0.5 P
YLT 17.13 0.5 P
ECR 17.26 0.5 P
# 2010 08 05 15 14  7.10 43.604 -110.438333333333   1.4 0.00  5.0  2.2 0.17 22
LOHW 3.450 0.75 P
REDW 8.490 0.75 P
IMW 9.770 1 P
FLWY 10.88 1 P
YPP 14.70 0.75 P
B944 16.21 0.75 P
MCID 16.09 1 P
YTP 15.89 0.75 P
YLT 17.19 0.75 P
ECR 17.68 0.75 P
# 2010 08 06 05 33 14.06 43.5961666666667 -110.433333333333   4.9 0.00  8.7  3.2 0.14 23
LOHW 3.439 0.75 P
REDW 8.319 1 P
IMW 9.609 1 P
FLWY 10.64 1 P
YPP 14.47 1 P
B944 15.92 0.75 P
YTP 15.69 0.5 P
MCID 15.96 0.5 P
ECR 17.09 0.75 P
YFT 17.98 0.5 P
# 2010 08 05 15 24 56.39 43.6033333333333 -110.453333333333   4.8 0.00 11.1 10.9 0.13 24
LOHW 3.149 0.75 P
REDW 8.149 0.5 P
